Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,4500,2006,BMW 3 series 325xi Sedan 4D,"Paterson, NJ",185000,A
Sold,5000,2000,BMW 5 series 540i Sedan 4D,"Lakewood, NJ",133000,A
Sold,5000,2001,BMW 5 series 540i Sedan 4D,"Jackson, NJ",134000,A
Sold,16999,2017,BMW 5 series 530i Sedan 4D,"Jamaica, NY",90000,D
Sold,5500,1995,BMW 5 series 530i Sedan 4D,"Brick, NJ",176000,B
Sold,2500,2002,BMW 5 series 540i Sedan 4D,"Elizabeth, NJ",135000,A
Sold,8500,1997,BMW m3 Sedan 4D,"Little Neck, NY",170000,B
Sold,2950,2002,BMW 3 series 325i Sedan 4D,"Brooklyn, NY",123000,A
Sold,2995,1998,BMW 3 series 328i Sedan 4D,"North Bergen, NJ",190000,A
Sold,3000,2000,BMW 3 series 323i Sedan 4D,"Bushkill, PA",131000,A
Sold,2700,2004,BMW 3 series 325i Sedan 4D,"Roselle, NJ",144000,A
Sold,4000,2004,BMW 3 series 325xiT Wagon 4D,"Freeport, NY",189000,A
Pending,1200,2000,BMW 3 series 323i Sedan 4D,"Rosedale, NY",200000,A
Sold,5500,2002,BMW 5 series 530i Sedan 4D,"Stamford, CT",97000,B
Sold,2900,1997,BMW 5 series 540i Sedan 4D,"Ridgewood, NY",100000,A
Pending,19995,1995,BMW 8 series 840Ci Coupe 2D,"Freeport, NY",76000,D
Pending,4000,1997,BMW 5 series 540i Sedan 4D,"Hasbrouck Heights, NJ",140000,A
Sold,3000,2004,BMW 5 series 525i Sedan 4D,"Westport, CT",102000,A
Pending,6000,2000,BMW 3 series 328i Sedan 4D,"Flemington, NJ",137000,B
Sold,2300,2001,BMW 5 series 525i Sedan 4D,"Floral Park, NY",120000,A
Sold,7500,1997,BMW 3 series 328i Sedan 4D,"Brooklyn, NY",146000,B
